"x","y"
4,1
3.86,2.04
3.84,2.96
3.94,3.76
4.16,4.44
4.5,5
4.96,5.44
5.54,5.76
6.24,5.96
7.06,6.04
8,6
9.06,5.84
10.24,5.56
11.54,5.16
12.96,4.64
14.5,4
16.16,3.24
17.94,2.36
19.84,1.36
21.86,0.239998
24,-1.00001
26.26,-2.36
28.64,-3.84
31.14,-5.44
33.76,-7.16
36.5,-8.99999
39.36,-10.96
42.34,-13.04
45.44,-15.24
48.66,-17.56
52,-20
55.46,-22.56
59.04,-25.24
62.74,-28.04
66.5599,-30.96
70.5,-34
74.5599,-37.16
78.74,-40.44
83.0399,-43.84
87.4599,-47.3599
91.9999,-51
96.6599,-54.7599
101.44,-58.6399
106.34,-62.6399
111.36,-66.7599
116.5,-70.9999
121.76,-75.3599
127.14,-79.8399
132.64,-84.4399
138.26,-89.1599
144,-93.9999
149.86,-98.9598
155.84,-104.04
161.94,-109.24
168.16,-114.56
174.5,-120
180.96,-125.56
187.54,-131.24
194.24,-137.04
201.06,-142.96
208,-149
215.06,-155.16
222.24,-161.44
229.54,-167.84
236.96,-174.36
244.5,-181
252.16,-187.76
259.94,-194.64
267.84,-201.64
275.86,-208.76
284,-216
292.26,-223.36
300.639,-230.84
309.14,-238.44
317.76,-246.16
326.499,-254
335.36,-261.96
344.339,-270.04
353.44,-278.24
362.66,-286.56
371.999,-295
381.46,-303.56
391.039,-312.24
400.74,-321.04
410.56,-329.96
420.5,-339
430.559,-348.16
440.74,-357.44
451.04,-366.84
461.46,-376.36
471.999,-386
482.66,-395.76
493.44,-405.64
504.34,-415.64
515.36,-425.76
526.5,-436
537.76,-446.36
549.141,-456.84
560.64,-467.44
572.26,-478.16
584,-489
595.86,-499.96
607.84,-511.04
619.94,-522.24
632.161,-533.561
644.501,-545
656.96,-556.56
669.541,-568.241
682.241,-580.041
695.06,-591.961
708.001,-604
721.061,-616.161
734.241,-628.441
747.541,-640.841
760.961,-653.36
774.501,-666.001
788.161,-678.761
801.941,-691.641
815.841,-704.641
829.861,-717.761
844.002,-731.002
858.262,-744.361
872.641,-757.841
887.142,-771.441
901.762,-785.162
916.501,-799.002
931.361,-812.961
946.342,-827.042
961.442,-841.243
976.663,-855.562
992.002,-870.001
1007.46,-884.562
1023.04,-899.243
1038.74,-914.042
1054.56,-928.962
1070.5,-944.002
1086.56,-959.163
1102.74,-974.443
1119.04,-989.842
1135.46,-1005.36
1152,-1021
1168.66,-1036.76
1185.44,-1052.64
1202.34,-1068.64
1219.36,-1084.76
1236.5,-1101
1253.76,-1117.36
1271.14,-1133.84
1288.64,-1150.44
1306.26,-1167.16
1324,-1184
1341.86,-1200.96
1359.84,-1218.04
1377.95,-1235.24
1396.16,-1252.56
1414.5,-1270
1432.96,-1287.57
1451.54,-1305.24
1470.24,-1323.04
1489.07,-1340.96
1508.01,-1359.01
1527.07,-1377.16
1546.24,-1395.44
1565.54,-1413.84
1584.97,-1432.37
1604.5,-1451
1624.17,-1469.76
1643.95,-1488.65
1663.84,-1507.65
1683.87,-1526.77
1704.01,-1546
1724.27,-1565.37
1744.65,-1584.85
1765.14,-1604.45
1785.77,-1624.17
1806.51,-1644.01
1827.37,-1663.97
1848.35,-1684.05
1869.45,-1704.25
1890.67,-1724.57
1912.01,-1745.01
1933.47,-1765.57
1955.05,-1786.25
1976.75,-1807.05
1998.57,-1827.97
2020.51,-1849.01
2042.57,-1870.17
2064.74,-1891.45
2087.05,-1912.85
2109.46,-1934.37
2132.01,-1956.01
2154.67,-1977.77
2177.45,-1999.65
2200.35,-2021.65
2223.37,-2043.77
2246.51,-2066.01
2269.77,-2088.37
2293.15,-2110.85
2316.65,-2133.45
2340.27,-2156.17
2364.01,-2179.01
2387.87,-2201.97
2411.85,-2225.05
2435.95,-2248.25
2460.17,-2271.57
2484.51,-2295.01
2508.97,-2318.57
2533.55,-2342.25
2558.25,-2366.05
2583.07,-2389.97
2608.01,-2414.01
2633.08,-2438.17
2658.25,-2462.45
2683.55,-2486.85
2708.98,-2511.37
2734.51,-2536.01
2760.17,-2560.77
2785.95,-2585.66
2811.85,-2610.65
2837.87,-2635.77
2864.01,-2661.01
2890.27,-2686.37
2916.66,-2711.85
2943.15,-2737.45
2969.77,-2763.17
2996.52,-2789.02
3023.38,-2814.97
3050.36,-2841.05
3077.45,-2867.26
3104.67,-2893.57
3132.02,-2920.01
3159.47,-2946.57
3187.05,-2973.26
3214.75,-3000.06
3242.57,-3026.97
3270.51,-3054.01
3298.57,-3081.18
3326.75,-3108.45
3355.06,-3135.85
3383.48,-3163.38
3412.01,-3191.02
3440.68,-3218.78
3469.45,-3246.65
3498.36,-3274.66
3527.38,-3302.78
3556.51,-3331.01
3585.78,-3359.37
3615.16,-3387.86
3644.65,-3416.46
3674.28,-3445.18
3704.02,-3474.01
3733.87,-3502.98
3763.85,-3532.06
3793.96,-3561.25
3824.18,-3590.58
3854.52,-3620.02
3884.97,-3649.58
3915.56,-3679.26
3946.27,-3709.06
3977.09,-3738.98
4008.01,-3769.02
4039.08,-3799.17
4070.27,-3829.45
4101.56,-3859.86
4132.98,-3890.38
4164.52,-3921.03
4196.19,-3951.78
4227.95,-3982.66
4259.86,-4013.66
4291.88,-4044.78
4324.02,-4076.02
4356.28,-4107.38
4388.66,-4138.87
4421.17,-4170.47
4453.79,-4202.18
4486.54,-4234.02
4519.38,-4265.99
4552.36,-4298.06
4585.47,-4330.26
4618.69,-4362.58
4652.02,-4395.03
4685.49,-4427.59
4719.07,-4460.26
4752.75,-4493.06
4786.58,-4525.99
4820.52,-4559.02
4854.59,-4592.18
4888.77,-4625.46
4923.06,-4658.87
4957.49,-4692.39
4992.03,-4726.02
5026.7,-4759.79
5061.46,-4793.67
5096.36,-4827.66
5131.39,-4861.78
5166.53,-4896.02
5201.78,-4930.39
5237.17,-4964.87
5272.67,-4999.46
5308.27,-5034.18
5344.02,-5069.03
5379.88,-5103.99
5415.87,-5139.06
5451.97,-5174.27
5488.18,-5209.6
5524.53,-5245.03
5561,-5280.58
5597.58,-5316.27
5634.27,-5352.07
5671.09,-5387.98
5708.04,-5424.02
5745.09,-5460.19
5782.27,-5496.48
5819.58,-5532.88
5857,-5569.39
5894.52,-5606.03
5932.18,-5642.79
5969.97,-5679.67
6007.88,-5716.67
6045.89,-5753.79
6084.01,-5791.03
6122.29,-5828.39
6160.69,-5865.87
6199.17,-5903.47
6237.77,-5941.19
6276.54,-5979.03
6315.41,-6016.99
6354.37,-6055.07
6393.45,-6093.27
6432.68,-6131.58
6472.04,-6170.03
6511.48,-6208.59
6551.05,-6247.27
6590.76,-6286.07
6630.6,-6324.98
6670.52,-6364.02
6710.56,-6403.19
6750.77,-6442.46
6791.08,-6481.86
6831.48,-6521.39
6872,-6561.02
6912.68,-6600.78
6953.48,-6640.66
6994.36,-6680.66
7035.36,-6720.78
7076.52,-6761.02
7117.79,-6801.38
7159.16,-6841.85
7200.64,-6882.46
7242.27,-6923.17
7284.04,-6964.01
7325.88,-7004.97
7367.83,-7046.06
7409.96,-7087.26
7452.19,-7128.57
7494.52,-7170.02
7536.96,-7211.57
7579.56,-7253.26
7622.27,-7295.05
7665.07,-7336.97
7708,-7379.02
7751.06,-7421.16
7794.27,-7463.45
7837.54,-7505.84
7880.95,-7548.37
7924.52,-7591.01
7968.18,-7633.76
8011.95,-7676.65
8055.81,-7719.65
8099.85,-7762.77
8144.02,-7806
8188.26,-7849.36
8232.62,-7892.84
8277.16,-7936.45
8321.79,-7980.16
8366.5,-8024
8411.34,-8067.96
8456.31,-8112.03
8501.46,-8156.24
8546.66,-8200.56
8591.98,-8245
8637.47,-8289.55
8683.07,-8334.23
8728.73,-8379.03
8774.53,-8423.96
8820.48,-8469
8866.58,-8514.15
8912.74,-8559.44
8959.01,-8604.83
9005.49,-8650.35
9052.02,-8695.98
9098.65,-8741.75
9145.41,-8787.63
9192.29,-8833.63
9239.37,-8879.75
9286.48,-8925.98
9333.73,-8972.35
9381.15,-9018.82
9428.65,-9065.42
9476.24,-9112.14
9523.96,-9158.99
9571.82,-9205.94
9619.84,-9253.02
9667.91,-9300.22
9716.12,-9347.54
9764.5,-9394.98
9812.97,-9442.53
9861.52,-9490.22
9910.18,-9538.02
9959.01,-9585.93
10008,-9633.97
10057,-9682.13
10106.2,-9730.41
10155.5,-9778.82
10205,-9827.33
10254.5,-9875.97
10304.1,-9924.74
10353.9,-9973.61
10403.8,-10022.6
10453.8,-10071.7
10503.9,-10121
10554.3,-10170.3
10604.6,-10219.8
10655.1,-10269.4
10705.7,-10319.1
10756.4,-10369
10807.3,-10418.9
10858.3,-10469
10909.4,-10519.2
10960.6,-10569.5
11012,-10620
11063.4,-10670.5
11115,-10721.2
11166.7,-10772
11218.5,-10822.9
11270.4,-10873.9
11322.5,-10925.1
11374.7,-10976.4
11427,-11027.8
11479.4,-11079.3
11531.9,-11130.9
11584.6,-11182.7
11637.4,-11234.6
11690.3,-11286.6
11743.3,-11338.7
11796.5,-11391
11849.7,-11443.3
11903.1,-11495.8
11956.6,-11548.4
12010.2,-11601.1
12063.9,-11654
12117.8,-11706.9
12171.7,-11759.9
12225.9,-11813.2
12280.1,-11866.5
12334.4,-11919.9
12388.9,-11973.5
12443.4,-12027.2
12498.2,-12081
12553,-12134.9
12607.9,-12188.9
12663,-12243.1
12718.2,-12297.4
12773.5,-12351.8
12828.9,-12406.3
12884.4,-12460.9
12940.1,-12515.7
12995.9,-12570.6
13051.8,-12625.6
13107.8,-12680.7
13163.9,-12735.9
13220.2,-12791.3
13276.6,-12846.7
13333,-12902.4
13389.7,-12958.1
13446.4,-13013.9
13503.2,-13069.8
13560.3,-13126
13617.4,-13182.2
13674.6,-13238.5
13731.9,-13294.8
13789.3,-13351.5
13847,-13408.2
13904.6,-13464.9
13962.4,-13521.9
14020.4,-13578.9
14078.5,-13636.1
14136.6,-13693.3
14194.9,-13750.7
14253.3,-13808.3
14311.9,-13865.9
14370.6,-13923.7
14429.3,-13981.5
14488.3,-14039.5
14547.3,-14097.7
14606.4,-14155.9
14665.6,-14214.2
14725,-14272.7
14784.6,-14331.4
14844.1,-14390.1
14903.9,-14448.9
14963.8,-14507.8
15023.8,-14567
15083.8,-14626.1
15144,-14685.4
15204.3,-14744.9
15264.9,-14804.5
15325.4,-14864.1
15386.1,-14923.9
15447,-14983.8
15507.9,-15043.9
15568.9,-15104
15630.1,-15164.2
15691.3,-15224.7
15752.9,-15285.3
15814.4,-15345.9
15876,-15406.6
15937.9,-15467.5
15999.7,-15528.5
16061.7,-15589.6
16123.9,-15650.8
16186.1,-15712.2
16248.5,-15773.7
16311,-15835.3
16373.6,-15897
16436.4,-15958.9
16499.3,-16020.9
16562.2,-16082.9
16625.3,-16145.1
16688.4,-16207.4
16751.8,-16269.9
16815.3,-16332.4
16878.9,-16395.1
16942.7,-16457.9
17006.4,-16520.9
17070.3,-16583.8
17134.4,-16646.9
17198.5,-16710.3
17262.9,-16773.7
17327.3,-16837.2
17391.8,-16900.8
17456.6,-16964.6
17521.3,-17028.5
17586.2,-17092.5
17651.1,-17156.5
17716.2,-17220.8
17781.6,-17285.2
17847,-17349.7
17912.4,-17414.2
17978.1,-17479
18043.9,-17543.9
18109.7,-17608.8
18175.6,-17673.8
18241.6,-17739.1
18308,-17804.4
18374.3,-17869.8
18440.8,-17935.4
18507.5,-18001.1
18574.1,-18066.9
18640.9,-18132.8
18707.8,-18198.7
18774.8,-18265
18842.1,-18331.3
18909.3,-18397.6
18976.8,-18464.1
19044.4,-18530.8
19112,-18597.6
19179.7,-18664.4
19247.6,-18731.4
19315.5,-18798.6
19383.8,-18865.8
19452.1,-18933.1
19520.4,-19000.6
19589,-19068.2
19657.6,-19136
19726.3,-19203.8
19795.1,-19271.7
19864,-19339.8
19933.3,-19408.1
20002.4,-19476.4
20071.8,-19544.7
20141.3,-19613.3
20210.9,-19682.1
20280.5,-19750.8
20350.3,-19819.7
20420.2,-19888.8
20490.4,-19957.9
20560.5,-20027.2
20630.8,-20096.6
20701.3,-20166.1
20771.8,-20235.8
20842.4,-20305.5
20913.2,-20375.3
20984,-20445.4
21055.2,-20515.6
21126.3,-20585.8
21197.5,-20656.1
21269,-20726.6
21340.4,-20797.2
21412,-20867.9
21483.7,-20938.7
21555.5,-21009.7
21627.6,-21080.8
21699.7,-21152
21771.9,-21223.3
21844.4,-21294.7
21916.7,-21366.4
21989.3,-21438
22061.9,-21509.7
22134.7,-21581.7
22207.7,-21653.8
22280.8,-21725.9
22353.9,-21798.1
22427.4,-21870.6
22500.7,-21943.2
22574.2,-22015.7
22647.9,-22088.4
22721.5,-22161.4
22795.6,-22234.4
22869.6,-22307.5
22943.7,-22380.7
23018.1,-22454.1
23092.4,-22527.6
23166.8,-22601.1
23241.5,-22674.8
23316.1,-22748.7
23391.1,-22822.7
23466,-22896.7
23541.1,-22970.9
23616.5,-23045.3
23691.7,-23119.8
23767.1,-23194.3
23842.7,-23268.9
23918.3,-23343.8
23994.3,-23418.7
24070.2,-23493.7
24146.2,-23568.8
24222.5,-23644.1
24298.7,-23719.6
24375.1,-23795.1
24451.6,-23870.6
24528.2,-23946.5
24605.2,-24022.4
24682,-24098.3
24759.1,-24174.4
24836.3,-24250.7
24913.4,-24327.1
24990.8,-24403.5
25068.3,-24480.1
25145.8,-24556.9
25223.7,-24633.7
25301.5,-24710.6
25379.5,-24787.7
25457.7,-24864.9
25535.8,-24942.3
25614.2,-25019.7
25692.6,-25097.1
25771.1,-25174.9
25849.9,-25252.8
25928.7,-25330.6
26007.6,-25408.6
26086.9,-25486.8
26165.9,-25565.2
26245.2,-25643.5
26324.6,-25721.9
26404,-25800.6
26483.8,-25879.5
26563.6,-25958.3
26643.5,-26037.2
26723.7,-26116.4
26803.6,-26195.7
26883.9,-26275
26964.3,-26354.5
27044.6,-26434.1
27125.4,-26513.8
27206.1,-26593.6
27287,-26673.5
27368.1,-26753.7
27449.1,-26833.9
27530.3,-26914.2
27611.6,-26994.6
27693,-27075.1
27774.7,-27156
27856.4,-27236.7
27938.2,-27317.5
28020.2,-27398.6
28102.2,-27479.8
28184.4,-27561.1
28266.7,-27642.4
28349,-27724
28431.6,-27805.7
28514.3,-27887.3
28597.1,-27969.2
28680,-28051.3
28762.9,-28133.5
28846.1,-28215.6
28929.3,-28297.8
29012.6,-28380.4
29096.2,-28463.1
29179.8,-28545.8
29263.6,-28628.5
29347.5,-28711.5
29431.4,-28794.7
29515.5,-28877.8
29599.7,-28961.1
29683.9,-29044.6
29768.5,-29128.2
29853.1,-29211.8
29937.8,-29295.5
30022.7,-29379.6
30107.6,-29463.6
30192.6,-29547.8
30277.8,-29631.9
30362.9,-29716.4
30448.5,-29801
30534.1,-29885.6
30619.7,-29970.2
30705.6,-30055.2
30791.3,-30140.2
30877.4,-30225.3
30963.6,-30310.5
31049.6,-30395.9
31136.2,-30481.5
31222.6,-30566.9
31309.3,-30652.6
31396.2,-30738.6
31482.9,-30824.6
31569.9,-30910.6
31656.9,-30996.7
31744,-31083.1
31831.5,-31169.7
31918.8,-31256.1
32006.6,-31342.7
32094.4,-31429.5
32181.9,-31516.5
32270,-31603.5
32358.2,-31690.7
32446.1,-31778
32534.5,-31865.4
32623.1,-31952.9
32711.5,-32040.4
32800.3,-32128.3
32888.8,-32216.2
32977.8,-32304.2
33067,-32392.2
33155.9,-32480.5
33245.2,-32569
33334.5,-32657.3
33424.1,-32745.9
33514,-32834.6
33603.4,-32923.5
33693.3,-33012.4
33783.6,-33101.5
33873.2,-33190.8
33963.6,-33280.1
34054.2,-33369.4
34144.4,-33458.9
34235.2,-33548.7
34325.5,-33638.7
34416.5,-33728.4
34507.6,-33818.4
34598.3,-33908.6
34689.7,-33999.1
34780.8,-34089.4
34872.4,-34179.7
34964.2,-34270.4
35055.5,-34361.3
35147.4,-34452
35239.4,-34543.1
35331.2,-34634.2
35423.5,-34725.6
35515.8,-34816.8
35608.1,-34908.2
35700.7,-34999.9
35793,-35091.7
35886,-35183.5
35978.9,-35275.3
36071.6,-35367.4
36164.8,-35459.8
36257.9,-35552
36351.5,-35644.4
36445.1,-35737
36538.3,-35829.7
36632.1,-35922.4
36726.2,-36015.3
36819.8,-36108.5
36914,-36201.6
37008.4,-36294.8
37102.4,-36388.2
37197,-36481.8
37291.3,-36575.5
37386.1,-36669.2
37481,-36762.9
37575.5,-36857
37670.8,-36951.2
37765.7,-37045.4
37861.1,-37139.6
37956.7,-37234.2
38051.8,-37328.9
38147.7,-37423.6
38243.6,-37518.4
38339.1,-37613.3
38435.3,-37708.5
38531.5,-37803.6
38627.6,-37898.8
38724.2,-37994.4
38820.1,-38090
38916.9,-38185.6
39013.8,-38281.3
39110.2,-38377.3
39207.4,-38473.5
39304.3,-38569.5
39401.6,-38665.8
39499.1,-38762.2
39596.2,-38858.7
39693.9,-38955.4
39791.8,-39052
39889.1,-39149
39987.2,-39246.1
40085.5,-39343.1
40183.4,-39440.2
40281.8,-39537.7
40379.8,-39635.4
40478.5,-39732.8
40577.3,-39830.3
40675.6,-39928.3
40774.6,-40026.4
40873.5,-40124.4
40972.8,-40222.4
41072.1,-40320.8
41171.1,-40419.5
41270.7,-40517.8
41370.6,-40616.5
41469.8,-40715.4
41569.8,-40814.4
41670,-40913.3
41769.8,-41012.3
41870.3,-41111.8
41970.2,-41211.2
42070.7,-41310.6
42171.5,-41410.2
42271.7,-41510
42372.7,-41610.1
42473.5,-41709.9
42574.6,-41810
42675.9,-41910.3
42776.8,-42010.7
42878.4,-42111.1
42980.2,-42211.6
43081.3,-42312.5
43183.3,-42413.3
43285.2,-42514.2
43387.1,-42615.2
43489.4,-42716.8
43591.2,-42817.9
43693.8,-42919.3
43796.4,-43020.6
43898.7,-43122.2
44001.5,-43224.4
44104.1,-43326.3
44207.2,-43428.2
44310.4,-43530.6
44413.2,-43632.8
44516.8,-43735
44620.4,-43837.5
44723.6,-43940
44827.3,-44043
44931.4,-44145.9
45035.1,-44248.7
45139.1,-44352.3
45243,-44455.4
45347.4,-44558.6
45452.1,-44661.9
45556.3,-44765.3
45660.9,-44869.5
45765.5,-44973.2
45870.5,-45077.1
45975.6,-45181.5
46080.5,-45285.5
46185.8,-45389.7
46291.4,-45494.1
46396.4,-45598.5
46502.2,-45703.5
46608.2,-45808.2
46713.7,-45913
46819.8,-46018.5
46925.4,-46123.6
47031.9,-46228.6
47138.4,-46333.9
47244.5,-46439.3
47351.2,-46545.3
47457.5,-46651
47564.6,-46756.7
47671.7,-46863
47778.2,-46969.1
47885.7,-47075.2
47993.1,-47181.4
48100.1,-47287.8
48207.7,-47394.6
48315.7,-47501.3
48423.2,-47608
48531.1,-47715.4
48638.6,-47822.4
48747.1,-47929.3
48855.4,-48036.6
48963.4,-48143.8
49072.1,-48251.8
49180.3,-48359.4
49289.4,-48467
49398.4,-48575.2
49506.9,-48683.1
49616.1,-48791.3
49725.5,-48899.6
49834.5,-49007.8
49944.1,-49116.6
50053.7,-49225.1
50163.2,-49333.7
50273.2,-49442.9
50382.6,-49551.9
50493,-49660.8
50603.2,-49770.1
50713.1,-49879.3
50823.7,-49989.1
50933.9,-50098.5
51044.9,-50208.2
51155.7,-50318.3
51266.1,-50428.2
51377.4,-50538.1
51488.7,-50648.2
51599.6,-50758.5
51711,-50869.4
51822.9,-50979.6
51934.1,-51090.3
52046,-51201.3
52157.3,-51312.3
52269.5,-51423.2
52382,-51534
52493.8,-51645.2
52606.1,-51756.8
52718.4,-51868.5
52831,-51979.8
52943.9,-52092
53056.3,-52203.7
53169.4,-52315.6
53282.7,-52427.7
53395.5,-52539.6
53508.8,-52652.4
53622.4,-52764.9
53735.7,-52877.2
53849.6,-52990.6
53962.8,-53103.2
54076.9,-53216
54191.1,-53328.9
54304.8,-53441.9
54419.3,-53555.9
54533.3,-53669
54647.9,-53782.4
54762.6,-53896.6
54877.1,-54010.1
54992.2,-54124.1
55107.3,-54237.8
55221.9,-54351.8
55337.2,-54466.6
55453,-54580.7
55568,-54695.3
55683.6,-54810.3
55798.9,-54924.7
55914.9,-55039.5
56031.2,-55154.3
56146.7,-55269.5
56262.9,-55385.1
56379,-55500.3
56495.6,-55615.5
56612.4,-55731.7
56728.6,-55847.4
56845.4,-55962.9
56962.7,-56078.7
57079.3,-56194.5
57196.5,-56311.3
57313.9,-56427.6
57430.9,-56543.7
57548.6,-56660.7
57665.8,-56777.2
57783.7,-56893.9
57902,-57010.8
58019.2,-57127.7
58137.5,-57245.3
58255.3,-57362.2
58374,-57479.6
58492.7,-57597.8
58610.5,-57715.1
58729.6,-57832.7
58848.8,-57950.2
58967.1,-58068.4
59086.4,-58187
59205.6,-58304.9
59324.7,-58423.1
59444.3,-58541.8
59563.4,-58660.6
59683.3,-58779.2
59803.2,-58897.7
